,Date,Open,High,Low,Close,Adj Close,Volume
112,2001-03-14,3.327546,3.669508,3.327546,3.590593,3.590593,40986000
113,2001-03-15,3.7664980000000003,3.8404879999999997,3.5774410000000003,3.6432029999999997,3.6432029999999997,49893100
114,2001-03-16,3.570865,3.7155410000000004,3.327546,3.4196129999999996,3.4196129999999996,44910200
115,2001-03-19,3.439341,3.9259779999999997,3.3604269999999996,3.8996739999999996,3.8996739999999996,46114300
116,2001-03-20,3.90625,4.090383,3.708965,3.7155410000000004,3.7155410000000004,58429600
117,2001-03-21,3.7747260000000002,3.919402,3.380156,3.380156,3.380156,62541000
118,2001-03-22,3.413037,3.893098,3.340699,3.8536410000000005,3.8536410000000005,47870600
119,2001-03-23,3.985164,4.103535,3.781303,3.9128260000000004,3.9128260000000004,45153500
120,2001-03-26,3.985164,4.307397,3.9391309999999997,4.04435,4.04435,51548700
121,2001-03-27,4.037774,4.261364,3.919402,4.208754,4.208754,34131700
122,2001-03-28,4.0575019999999995,4.1561449999999995,3.7549980000000005,3.807607,3.807607,39528000
123,2001-03-29,3.708965,3.8799449999999998,3.5445599999999997,3.590593,3.590593,41606600
124,2001-03-30,3.6432029999999997,4.024621,3.636627,3.807607,3.807607,44713400
125,2001-04-02,3.8141830000000003,3.9720120000000003,3.669508,3.7155410000000004,3.7155410000000004,42066600
126,2001-04-03,3.6563550000000005,3.708965,3.176294,3.228904,3.228904,75541500
127,2001-04-04,3.228904,3.380156,3.077652,3.196023,3.196023,72915600
128,2001-04-05,3.590593,3.708965,3.5314080000000003,3.662931,3.662931,64821000
129,2001-04-06,3.5823650000000002,3.82076,3.4327650000000003,3.735269,3.735269,54858000
130,2001-04-09,3.9793769999999995,4.043561,3.861532,3.9962120000000003,3.9962120000000003,38898900
131,2001-04-10,4.149832,4.329756,4.103535,4.150884,4.150884,65894000
132,2001-04-11,4.313973000000001,4.345539,3.9772730000000003,4.121423,4.121423,45948900
133,2001-04-12,4.095118,4.392887,4.095118,4.380261,4.380261,48835300
134,2001-04-16,4.201389,4.5401940000000005,4.190867,4.301347,4.301347,40125800
135,2001-04-17,4.228746,4.566498,4.203493,4.529672,4.529672,45741800
136,2001-04-18,4.734848,5.085227,4.613847,4.813763,4.813763,71492800
137,2001-04-19,4.965278,5.260943,4.8400669999999995,5.2598910000000005,5.2598910000000005,75399900
138,2001-04-20,5.47138,5.92277,5.2293769999999995,5.3293349999999995,5.3293349999999995,167934700
139,2001-04-23,5.244108,5.24516,4.913721,4.940025,4.940025,65713500
140,2001-04-24,4.8400669999999995,5.13468,4.682239,4.688552,4.688552,62466900
141,2001-04-25,4.73064,5.13468,4.629630000000001,5.092593,5.092593,83389000
142,2001-04-26,5.185185,5.2083330000000005,4.682239,4.8400669999999995,4.8400669999999995,55835000
143,2001-04-27,4.998948,5.039983,4.773779,4.931608,4.931608,35908900
144,2001-04-30,5.07681,5.481902,5.039983,5.311448,5.311448,89849800
145,2001-05-01,5.326179,5.719697,5.323022,5.714436,5.714436,105103700
